Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2016-10-11,612.57,640.01,612.57,635.42,24.4,15352.3804,629.195918033
2016-10-10,615.62,616.48,611.14,616.47,18.07,11084.1736,613.401970116
2016-10-09,611.11,611.14,611.11,611.14,0.1,61.1137,611.137
2016-10-08,610.87,617.03,610.87,611.11,8.3,5087.9894,613.010771084
2016-10-07,610.42,616.47,605.03,614.77,26.09,15915.2737,610.014323496
2016-10-06,610.99,610.99,605.11,606.09,37.37,22722.7732,608.048520203
2016-10-05,610.99,611.0,606.02,610.99,23.76,14486.7078,609.709924242
2016-10-04,607.54,610.99,607.52,607.52,6.51,3962.2194,608.635852535
2016-10-03,610.98,610.99,607.53,607.54,20.55,12527.991,609.63459854
2016-10-02,610.98,610.98,605.98,605.99,0.06,36.509,608.483333333
2016-10-01,610.98,610.98,610.98,610.98,0.03,18.3294,610.98
2016-09-30,606.0,610.98,604.01,610.98,1.8,1091.6729,606.484944444
2016-09-29,611.0,611.0,606.0,606.06,0.17,103.266,607.447058824
2016-09-28,604.03,608.24,599.89,607.58,8.07,4881.4732,604.891350682
2016-09-27,604.01,610.99,604.01,606.11,7.55,4584.1351,607.170211921
2016-09-26,600.05,608.27,599.76,608.19,5.09,3078.098,604.734381139
2016-09-25,598.24,604.98,598.23,599.56,22.31,13406.4855,600.918220529
2016-09-24,599.11,607.37,595.93,602.81,19.42,11667.2048,600.782945417
2016-09-23,599.4,599.98,593.01,599.81,15.64,9344.0534,597.445869565
2016-09-22,597.0,597.93,593.01,597.51,11.79,7033.4904,596.564071247
2016-09-21,605.41,605.41,592.16,596.01,6.25,3732.2568,597.161088
2016-09-20,606.9,611.78,605.21,605.41,23.18,14079.4011,607.39435289
2016-09-19,605.69,609.12,604.01,606.85,27.51,16699.9493,607.050138132
2016-09-18,604.7,609.14,604.01,607.38,23.37,14178.2535,606.686071887
2016-09-17,606.36,610.8,604.02,604.87,16.08,9763.6956,607.195
2016-09-16,606.1,612.24,606.1,608.57,22.36,13584.9662,607.556627907
2016-09-15,610.75,612.34,606.08,607.52,21.78,13259.0749,608.77295225
2016-09-14,606.1,612.65,606.09,610.52,24.15,14699.2245,608.663540373
2016-09-13,604.35,612.65,604.02,610.88,20.34,12373.4852,608.332605703
2016-09-12,604.02,610.74,604.01,609.83,28.39,17214.3297,606.351873899
2016-09-11,619.19,629.15,596.89,604.01,27.58,17087.3541,619.555986222
2016-09-10,618.9,626.19,617.02,624.45,31.84,19817.3935,622.405574749
2016-09-09,623.28,631.44,613.61,619.52,25.0,15554.3445,622.17378
2016-09-08,611.39,629.84,610.8,624.06,20.96,13007.9861,620.610023855
2016-09-07,606.26,613.54,605.01,612.0,11.64,7078.6861,608.134544674
2016-09-06,602.79,612.45,600.01,606.51,17.19,10389.29,604.379872019
2016-09-05,603.04,608.97,598.09,604.99,22.86,13775.1519,602.587572178
2016-09-04,594.13,609.99,591.04,608.52,24.87,14912.4489,599.615958987
2016-09-03,576.52,599.68,569.79,592.77,18.85,10914.237,579.004615385
2016-09-02,568.97,575.63,568.0,569.79,21.99,12550.9423,570.756812187
2016-09-01,569.14,573.99,568.0,573.59,18.47,10553.1192,571.365414185
2016-08-31,575.01,579.16,569.07,572.41,21.33,12210.8708,572.474017815
2016-08-30,568.8,579.49,568.02,575.01,18.69,10744.0303,574.854483681
2016-08-29,570.78,577.82,568.71,573.75,24.4,13995.9948,573.606344262
2016-08-28,569.55,577.82,568.01,575.28,18.41,10526.1139,571.760668115
2016-08-27,575.92,579.89,568.0,569.38,21.9,12563.8724,573.692803653
2016-08-26,573.28,579.99,571.88,579.89,31.55,18222.6917,577.581353407
2016-08-25,581.42,581.42,571.15,573.89,26.71,15345.1518,574.509614377
2016-08-24,584.67,584.67,573.66,580.49,24.27,14056.3831,579.167000412
2016-08-23,585.5,588.99,580.5,584.28,12.42,7251.9285,583.891183575
2016-08-22,576.09,587.62,576.09,585.11,18.42,10683.8528,580.013724213
2016-08-21,576.37,585.05,575.12,581.22,31.33,18164.3744,579.775754868
2016-08-20,570.04,584.58,570.04,581.87,23.86,13739.3153,575.830481978
2016-08-19,568.64,584.94,568.01,573.77,33.92,19476.1782,574.17978184
2016-08-18,569.14,578.74,568.01,568.04,32.34,18514.5143,572.495803958
2016-08-17,572.29,581.92,563.94,572.44,25.26,14470.079,572.845566112
2016-08-16,562.03,582.29,560.33,572.64,21.91,12519.9501,571.42629393
2016-08-15,570.47,575.3,556.45,568.59,22.84,12942.2595,566.648839755
2016-08-14,582.03,586.85,564.0,570.28,24.84,14299.8555,575.678562802
2016-08-13,583.48,591.0,580.17,585.93,20.74,12149.541,585.802362584
2016-08-12,587.27,593.65,578.92,583.83,34.88,20459.1651,586.558632454
2016-08-11,589.8,596.35,584.99,585.01,17.99,10647.0219,591.830011117
2016-08-10,580.2,600.25,580.18,590.78,25.48,15101.3768,592.675698587
2016-08-09,588.76,590.83,581.26,586.83,25.97,15222.7087,586.165140547
2016-08-08,589.85,595.84,583.11,593.08,21.9,12904.4273,589.243255708
2016-08-07,591.49,599.87,580.41,590.54,18.23,10755.463,589.986999451
2016-08-06,572.3,593.32,564.0,591.32,22.31,12791.6202,573.35814433
