Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2016-06-06,573.8,586.02,573.8,584.5,4465.51612085,2599632.51236,582.157233791
2016-06-05,573.5,582.0,566.0,573.91,5415.93469447,3104174.12062,573.155751636
2016-06-04,569.93,588.71,558.54,573.8,6216.6271931,3569801.44325,574.23444134
2016-06-03,538.0,578.37,535.74,569.94,8801.7746347,4918798.57226,558.841685502
2016-06-02,536.95,540.0,529.13,538.0,3939.35132757,2110034.26712,535.629877019
2016-06-01,532.37,542.87,525.49,536.95,5456.942657,2918877.94306,534.892544512
2016-05-31,527.64,548.5,515.0,531.84,12071.1819586,6465589.81643,535.621933179
2016-05-30,517.6,535.0,510.01,527.64,6074.77470614,3195665.50708,526.054983381
2016-05-29,522.13,540.0,485.0,517.84,8215.67477949,4268564.36001,519.563453347
2016-05-28,470.58,529.08,468.0,519.41,12568.0311236,6208198.25244,493.967447357
2016-05-27,452.07,478.16,452.07,472.05,12234.2033193,5759605.50279,470.778958993
2016-05-26,448.27,452.98,446.8,452.07,3768.49837209,1695944.87055,450.032002962
2016-05-25,445.31,449.6,444.26,448.7,3663.31591095,1639628.08377,447.580313471
2016-05-24,442.63,446.37,441.0,443.97,3072.77859999,1366675.3434,444.768569855
2016-05-23,438.72,442.99,436.4,442.99,2625.60063214,1157133.44932,440.711902319
2016-05-22,442.72,443.47,435.0,438.8,2350.68206329,1032621.86861,439.286062857
2016-05-21,442.84,443.98,435.28,443.31,1916.43483232,844578.212866,440.702808477
2016-05-20,436.3,444.41,435.06,442.72,3448.22731015,1520946.41638,441.08067119
2016-05-19,452.47,453.85,435.03,436.3,5961.1150858,2667369.27169,447.461462042
2016-05-18,452.96,455.68,452.0,452.92,2608.23175369,1184326.53192,454.072583943
2016-05-17,454.0,456.09,452.0,453.08,3430.47946611,1555633.96076,453.474208528
2016-05-16,457.56,458.0,451.11,454.0,3248.19201842,1479592.22802,455.512549637
2016-05-15,456.3,458.08,454.72,457.56,1612.71056651,736345.014644,456.588448005
2016-05-14,456.42,457.25,453.51,455.57,1377.71832273,628027.393028,455.846004707
2016-05-13,455.2,456.82,452.04,455.91,2822.65051924,1283980.60746,454.884725796
2016-05-12,452.95,455.25,448.88,455.2,3453.49239803,1560850.71516,451.962979866
2016-05-11,450.88,457.99,450.32,452.91,3352.58050446,1520976.99444,453.673518776
2016-05-10,461.49,463.0,447.38,451.62,5746.15794317,2608139.07303,453.892687744
2016-05-09,457.75,464.79,455.62,460.82,3536.50388948,1625816.35765,459.724181977
2016-05-08,458.97,459.69,455.95,458.21,1353.23221968,619028.389016,457.444317401
2016-05-07,458.98,461.0,455.95,458.07,2004.63685564,918778.353004,458.32657941
2016-05-06,448.5,463.97,447.03,458.48,5540.13889435,2518562.04844,454.602690739
2016-05-05,447.36,450.0,445.11,448.5,2569.5932008,1150544.09291,447.753400249
2016-05-04,451.18,451.68,444.15,446.63,3327.60727439,1488189.71992,447.225167278
2016-05-03,444.06,452.0,440.78,450.61,5576.91459995,2496652.81069,447.676356872
2016-05-02,452.99,453.8,438.59,444.06,6362.93159046,2824163.35079,443.846253985
2016-05-01,448.43,453.78,446.84,453.0,1190.69815095,537276.056658,451.227757622
2016-04-30,456.53,456.9,446.5,448.37,2419.58249945,1091522.43585,451.120156515
2016-04-29,449.94,456.53,445.62,456.53,2982.54077936,1347430.82735,451.772809502
2016-04-28,445.39,451.0,435.0,449.14,8736.25774023,3884773.45452,444.672486782
2016-04-27,467.39,469.03,443.2,445.38,7084.23987101,3233410.8363,456.423115983
2016-04-26,462.29,469.87,462.13,467.42,4629.18548678,2154820.58821,465.485903377
2016-04-25,460.03,469.47,455.13,462.33,5607.18864396,2589826.88327,461.876182115
2016-04-24,451.92,470.02,447.06,460.02,7103.31254852,3252973.56094,457.951630133
2016-04-23,447.16,452.19,444.46,451.92,2250.0352108,1008095.21603,448.03530682
2016-04-22,451.0,451.36,442.96,447.7,5494.44115676,2458441.08276,447.441516366
2016-04-21,441.99,452.11,440.0,451.0,5421.15632535,2417983.8016,446.027315296
2016-04-20,435.7,444.0,433.11,442.13,7602.64664993,3334632.03477,438.614628342
2016-04-19,428.14,436.82,426.24,435.63,3798.23746594,1634274.11488,430.271706163
2016-04-18,427.15,430.01,425.8,428.14,3180.43077191,1359481.31183,427.451942624
2016-04-17,430.18,430.91,377.87,427.42,1502.86305955,642520.654354,427.531071625
2016-04-16,429.29,432.87,381.47,430.69,1848.39276214,794725.229958,429.954740267
2016-04-15,424.4,430.0,423.07,429.45,4406.24086239,1883221.87256,427.398758118
2016-04-14,423.6,425.35,420.57,424.86,3863.79952226,1637346.082,423.765796482
2016-04-13,425.32,426.0,422.27,423.93,3917.08383409,1661013.30986,424.043339437
2016-04-12,422.79,426.67,421.0,425.54,6082.73402325,2581942.43137,424.470710293
2016-04-11,420.4,422.8,418.0,422.69,3487.8325098,1467164.56324,420.652241504
2016-04-10,418.59,421.79,417.2,420.04,1779.82860787,746886.329426,419.6394676
2016-04-09,417.75,418.71,412.0,418.24,3599.39669345,1497170.37218,415.950366046
2016-04-08,419.99,423.99,416.26,417.75,4584.13099271,1928359.90851,420.659861504
2016-04-07,420.62,421.99,418.09,420.0,3216.81131955,1352741.71336,420.522554475
2016-04-06,422.71,422.9,420.0,421.03,2396.3483709,1010238.99312,421.574344276
2016-04-05,418.81,423.0,416.61,422.71,3956.55659754,1665558.64627,420.961663307
2016-04-04,418.51,419.85,416.0,418.75,3457.56274345,1445848.17537,418.169757906
2016-04-03,419.35,419.48,416.1,419.11,1337.67303294,558989.714491,417.88217354
2016-04-02,416.31,420.0,416.01,419.0,2072.95050098,867252.468354,418.366221453
2016-04-01,414.66,416.99,413.42,416.31,3736.77266241,1552890.06765,415.569853439
2016-03-31,413.68,416.99,411.4,414.66,3774.42082775,1566080.96696,414.919543535
2016-03-30,415.43,415.93,408.59,413.74,4824.85455188,1990559.4952,412.563627317
2016-03-29,422.87,424.37,407.22,415.95,5955.00099026,2473866.2137,415.426667057
2016-03-28,424.62,424.77,420.32,422.87,3283.79146452,1388121.94605,422.719274669
2016-03-27,416.96,427.99,415.77,424.77,5038.8775332,2135073.91607,423.720144417
2016-03-26,415.6,416.99,414.0,416.96,1253.0063756,521077.511702,415.861819899
2016-03-25,415.17,416.92,412.0,415.7,2588.78272326,1074765.81823,415.162620091
2016-03-24,417.62,418.15,412.85,415.17,2776.60883207,1155165.75428,416.034747472
2016-03-23,416.39,419.0,413.44,417.62,4946.39651107,2059556.01224,416.375033347
2016-03-22,411.15,416.99,410.35,416.64,3950.15519464,1638956.39733,414.909368511
2016-03-21,410.62,411.96,406.5,411.67,3546.2789106,1451351.16318,409.260297842
2016-03-20,408.36,412.0,406.6,411.28,2579.0021276,1057230.70014,409.937893739
2016-03-19,407.5,409.95,404.1,409.04,2870.24736036,1167962.93752,406.920655568
2016-03-18,418.47,418.49,403.34,407.91,6391.24659493,2620535.27708,410.019428629
2016-03-17,416.52,419.0,415.66,418.49,3704.16067257,1548743.0322,418.109031736
2016-03-16,415.84,416.82,413.15,416.57,4100.47706379,1702108.56385,415.100130392
2016-03-15,414.83,417.43,412.15,415.85,4569.87994639,1898781.05535,415.499111053
2016-03-14,412.99,415.22,410.5,414.99,4470.78743496,1848804.28557,413.529901044
2016-03-13,409.95,417.0,409.67,413.04,3286.86910903,1357510.21772,413.010123826
2016-03-12,419.14,420.93,406.59,410.9,4640.49424972,1916201.03835,412.930376644
2016-03-11,416.0,421.91,415.11,419.13,5950.80704895,2495505.28728,419.355772545
2016-03-10,412.99,416.9,409.31,416.0,5255.299453,2172818.96013,413.45293062
2016-03-09,412.14,413.51,408.75,413.0,4876.78893016,2006337.14613,411.405368339
2016-03-08,413.96,414.99,408.46,411.75,5576.2582036,2294301.54689,411.441052965
2016-03-07,406.15,414.96,403.03,414.01,5937.73379583,2435455.24806,410.16578577
2016-03-06,399.77,412.31,393.11,406.23,5692.00930852,2305615.94252,405.061871397
2016-03-05,408.18,408.98,382.0,399.83,16436.4038617,6542504.74081,398.049646131
2016-03-04,420.29,423.9,406.02,408.01,7789.00370914,3242408.24085,416.280228117
2016-03-03,422.4,424.47,415.85,420.29,7483.6467555,3144344.87114,420.162117997
2016-03-02,433.33,434.5,421.31,423.45,5788.38363163,2484758.40716,429.266366103
2016-03-01,436.75,437.5,427.01,432.5,6941.51621427,2999990.19582,432.180823788
2016-02-29,430.26,440.99,428.12,435.23,8463.34883153,3688136.63551,435.777457473
2016-02-28,431.07,435.0,422.29,431.68,3501.18941279,1503570.38833,429.44560007
2016-02-27,432.0,435.0,428.22,431.07,4159.35798035,1794059.03145,431.330758239
2016-02-26,423.38,432.0,418.01,432.0,4635.1202274,1965128.87424,423.965027406
2016-02-25,423.79,426.75,415.79,423.51,5597.96719924,2361226.41654,421.80068809
2016-02-24,419.1,424.28,409.07,423.78,7258.35730294,3044435.8372,419.438684283
2016-02-23,438.26,440.0,414.0,419.1,10509.6050782,4460860.98972,424.455624785
2016-02-22,438.33,439.5,431.15,438.27,5840.3160546,2550862.12342,436.767822079
2016-02-21,434.63,447.99,426.0,438.5,10300.3526042,4513446.9131,438.183728901
2016-02-20,419.98,443.96,419.5,434.63,11633.2727425,5037569.38158,433.031142059
2016-02-19,421.15,422.0,414.0,419.54,5015.53810237,2101914.46577,419.080549856
2016-02-18,415.59,424.9,413.4,421.18,8588.92668864,3610499.41429,420.366775171
2016-02-17,407.51,421.11,404.0,415.54,11842.7778287,4915480.61646,415.061456657
2016-02-16,399.5,407.8,396.0,407.51,8354.83032093,3372130.2147,403.614446395
2016-02-15,405.5,409.71,393.4,399.28,7906.69773619,3178245.77789,401.968797079
2016-02-14,390.99,406.71,390.59,405.0,9758.39271132,3887244.20681,398.348818479
2016-02-13,383.0,390.99,382.0,390.99,7324.96634134,2836694.35089,387.263806918
2016-02-12,377.98,383.48,377.07,383.27,5996.09236146,2285206.43134,381.115949118
2016-02-11,379.34,380.5,373.54,377.98,7471.96039009,2820555.12082,377.48528814
2016-02-10,373.69,383.85,372.12,379.66,10006.6332925,3792903.8762,379.03895999
2016-02-09,370.95,377.0,369.12,373.2,5779.6801008,2157256.82784,373.248482653
2016-02-08,375.0,378.99,369.99,370.91,6943.10816682,2599524.22458,374.403532556
2016-02-07,375.39,380.0,373.04,375.0,2885.48241846,1084985.74964,376.015373616
2016-02-06,384.97,384.98,371.35,375.39,5735.69706556,2159252.72193,376.458640903
2016-02-05,388.0,389.5,382.99,385.0,7372.61395629,2854281.75144,387.146508466
2016-02-04,368.4,391.88,367.95,387.82,13446.479683,5138708.84484,382.16016132
2016-02-03,373.05,374.0,365.0,368.38,7107.78660836,2631356.06623,370.207521865
2016-02-02,371.79,375.0,369.73,373.05,5719.11332356,2133603.91822,373.065508149
2016-02-01,368.49,378.2,366.53,371.81,7255.13421769,2703288.00025,372.603444558
2016-01-31,376.38,379.3,364.7,368.49,4166.66582034,1559953.4024,374.388892622
