Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2016-09-26,535.954,542.828,535.04,541.47,3215.99166952,1737653.37768,540.316504596
2016-09-25,538.589,538.859,534.12,535.944,1257.52252398,674389.200357,536.283992928
2016-09-24,537.989,539.99,536.311,538.68,1469.96389463,791487.077549,538.439808243
2016-09-23,531.478,538.0,530.0,537.99,3441.86607035,1842892.48484,535.434106725
2016-09-22,533.978,534.751,529.116,531.49,3820.34306286,2030405.86993,531.472131303
2016-09-21,540.0,540.0,520.477,533.98,5268.13757519,2816620.79244,534.652095212
2016-09-20,543.398,545.355,539.0,539.0,4019.58722077,2186177.63041,543.881127672
2016-09-19,545.76,546.225,543.267,543.29,2852.60172818,1553616.89069,544.631546473
2016-09-18,542.321,546.0,541.674,544.541,2217.33365626,1207354.70882,544.507456246
2016-09-17,544.68,544.68,541.601,542.97,1542.21186679,838267.811449,543.549060606
2016-09-16,541.49,545.0,540.017,544.68,3763.11474332,2046572.07488,543.850563822
2016-09-15,543.78,544.96,540.0,540.7,2954.81746408,1603612.63715,542.711235684
2016-09-14,544.61,546.89,542.0,542.882,2689.84452637,1464922.90208,544.612481398
2016-09-13,542.297,547.168,540.0,544.721,4123.40489031,2241087.86325,543.504196864
2016-09-12,541.007,542.776,538.185,542.297,2836.25650247,1533779.39049,540.775980294
2016-09-11,554.569,562.499,524.888,541.12,5067.56567557,2750864.79711,542.837522633
2016-09-10,554.508,557.855,553.839,555.999,1568.52318765,872094.100954,555.996945293
2016-09-09,556.49,557.0,548.0,554.509,3209.31255236,1775753.5941,553.312762508
2016-09-08,546.1,557.43,544.645,556.032,4710.98975583,2608150.02363,553.631011488
2016-09-07,542.801,546.99,538.14,545.991,3053.09446951,1659984.31481,543.70551956
2016-09-06,543.055,547.496,538.851,542.96,3574.45867399,1943669.67792,543.766162991
2016-09-05,541.002,543.99,536.889,543.056,3726.15329974,2014061.86318,540.520397623
2016-09-04,532.8,549.0,530.501,541.985,4694.33706535,2537581.08936,540.562182484
2016-09-03,512.99,535.09,511.44,532.8,5520.59111392,2890391.4877,523.565579854
2016-09-02,509.749,514.0,507.698,512.99,3187.3003734,1630308.54419,511.50138148
2016-09-01,514.3,514.96,508.91,509.749,3879.45175212,1982968.31059,511.146532369
2016-08-31,515.487,518.11,511.736,514.299,2829.57832419,1455713.37856,514.463008892
2016-08-30,511.9,518.54,511.683,515.94,3609.39207691,1863107.02596,516.183054172
2016-08-29,511.511,516.587,510.999,511.75,3047.43258252,1564910.93635,513.517819993
2016-08-28,508.409,512.99,507.462,511.511,1675.57229213,856138.724685,510.95302107
2016-08-27,516.498,516.498,505.55,507.71,2079.44880533,1060999.27983,510.231017521
2016-08-26,510.91,516.498,508.21,516.489,3253.8632642,1667945.9027,512.604792293
2016-08-25,515.0,515.739,508.001,510.91,3640.91336332,1857677.37811,510.222900886
2016-08-24,515.61,517.592,513.0,515.0,3051.32004886,1572754.53778,515.434144106
2016-08-23,517.904,519.817,513.563,515.729,4061.86387747,2097913.53462,516.490359576
2016-08-22,515.0,520.95,513.482,518.834,3516.39995515,1818805.68599,517.235157887
2016-08-21,515.103,517.83,511.22,514.707,1361.31670686,700987.296356,514.933294231
2016-08-20,508.888,518.05,507.9,516.1,1976.3090755,1014903.00497,513.534556691
2016-08-19,506.899,513.67,505.701,508.888,3189.04318386,1626546.38276,510.042131442
2016-08-18,508.438,511.486,505.7,506.9,3545.49609679,1802369.12622,508.354565065
2016-08-17,512.7,517.944,506.21,508.438,2853.39190696,1461374.89895,512.15358654
2016-08-16,507.682,521.13,503.032,513.37,5162.55110313,2639399.41283,511.258747876
2016-08-15,510.998,513.517,501.11,507.908,3953.87493094,2011628.48501,508.773929411
2016-08-14,525.02,525.909,502.0,510.998,4198.91935758,2151531.72789,512.40129773
2016-08-13,526.82,528.98,522.927,525.02,1535.95224743,808360.568003,526.29277333
2016-08-12,528.583,529.688,521.31,526.871,3803.39339584,2002012.63642,526.375378002
2016-08-11,531.376,537.5,527.39,527.47,3812.56658177,2033950.06916,533.485783275
2016-08-10,529.13,540.0,521.0,531.21,5451.83180133,2908732.78307,533.533111267
2016-08-09,536.52,537.326,528.8,529.129,4718.03378479,2516746.42581,533.431200498
2016-08-08,540.876,541.816,534.006,536.52,3347.25180259,1802825.2985,538.59864893
2016-08-07,535.569,548.24,530.321,540.878,4201.71672831,2264665.50334,538.985764575
2016-08-06,520.987,537.99,515.0,535.569,4689.69466834,2466198.6799,525.876171971
2016-08-05,524.206,525.379,514.756,521.89,3558.07930078,1853357.87292,520.887174302
2016-08-04,508.613,529.0,508.0,524.625,8833.31202097,4598592.45181,520.596627957
2016-08-03,475.0,518.99,462.62,509.889,15882.5854002,7852987.35595,494.440115264
2016-08-02,530.499,589.303,430.0,474.5,25094.1854922,12514864.0273,498.715689783
2016-08-01,556.0,589.303,530.018,530.25,7848.0304614,4312992.31059,549.563655722
2016-07-31,584.8,589.303,553.22,556.0,5557.15708868,3151654.15344,567.134256445
2016-07-30,587.7,589.303,584.229,584.8,1594.31848967,935371.668152,586.690598028
2016-07-29,590.191,591.889,587.438,587.7,2507.92450499,1478993.50208,589.728079588
2016-07-28,592.141,595.0,587.802,590.191,3010.43874465,1780340.64112,591.389093795
2016-07-27,589.95,598.1,586.666,591.048,4885.6422602,2900685.93804,593.716400741
2016-07-26,591.92,596.36,581.05,589.95,5349.84294227,3157265.59388,590.160426754
2016-07-25,603.12,604.7,591.088,591.92,4031.89573892,2405481.44527,596.613008133
2016-07-24,600.97,605.525,596.905,603.12,2723.97600522,1638597.73491,601.546317505
2016-07-23,595.988,602.99,591.977,600.969,2076.70570984,1244587.2278,599.308424832
2016-07-22,603.96,605.97,590.0,595.99,4685.07568996,2805450.25756,598.805748981
2016-07-21,605.99,606.99,598.841,603.96,2723.46093458,1644584.74863,603.858394939
2016-07-20,612.5,612.99,600.0,605.99,3784.75434802,2298167.78308,607.217159094
2016-07-19,611.101,612.99,607.311,612.5,2444.07459174,1491576.23205,610.28261457
2016-07-18,617.51,619.873,602.072,611.021,4351.40617171,2670875.70459,613.796000464
2016-07-17,603.96,622.65,603.0,617.51,5311.99269755,3259048.46301,613.526532993
2016-07-16,603.18,605.99,599.356,603.96,1278.74406822,771092.408979,603.007613597
2016-07-15,598.355,606.739,596.013,604.25,3584.27107569,2160390.39746,602.741910933
2016-07-14,592.7,600.99,590.5,598.355,3253.75272883,1941406.63631,596.666925273
2016-07-13,602.98,606.728,592.55,592.67,4032.99558144,2422343.11884,600.631235498
2016-07-12,587.266,611.8,585.0,602.98,7035.39918425,4225788.37844,600.646568556
2016-07-11,589.45,597.0,584.141,588.779,3886.18998979,2288564.3928,588.896682563
2016-07-10,590.7,593.75,582.99,589.45,1904.37710834,1119431.98307,587.820541513
2016-07-09,609.97,609.998,562.522,592.389,6810.95377218,4018630.85951,590.024685812
2016-07-08,582.717,610.0,576.481,608.71,5792.38710982,3436505.11611,593.279601476
2016-07-07,614.311,618.486,553.85,582.99,13120.9660655,7599805.87032,579.210847159
2016-07-06,609.59,620.55,607.141,614.311,5326.04293796,3267593.44079,613.512410405
2016-07-05,615.0,615.789,600.0,607.859,6538.16168432,3973896.70762,607.800311386
2016-07-04,593.17,617.222,583.32,615.0,7106.79929936,4304022.11719,605.620327223
2016-07-03,633.0,634.0,581.85,593.11,7405.75263659,4475830.92569,604.372188125
2016-07-02,608.672,632.978,606.39,632.22,6162.74116929,3841533.29499,623.348148082
2016-07-01,607.43,619.95,601.976,609.1,8034.23665044,4903111.68495,610.277229596
2016-06-30,576.758,614.027,573.0,607.429,9886.88763572,5917422.67986,598.512180768
2016-06-29,585.98,587.006,555.634,577.0,9809.06230606,5613593.52966,572.286458635
2016-06-28,599.0,605.0,579.176,585.98,6277.47848172,3710189.40214,591.031799304
2016-06-27,574.45,602.75,568.12,599.0,7015.93785412,4121492.29853,587.447093208
2016-06-26,606.63,610.0,555.999,574.45,6994.05028133,4061884.09666,580.76278169
2016-06-25,608.428,628.0,584.0,606.999,7976.29329517,4856515.961,608.868779179
2016-06-24,554.433,645.192,552.282,607.95,22360.1688113,13522069.7937,604.739163994
2016-06-23,532.449,565.5,490.256,554.433,22487.991921,11835696.5019,526.311844273
2016-06-22,592.299,605.5,512.358,533.217,19482.4304037,11022951.2461,565.789330064
2016-06-21,647.853,649.802,561.67,592.299,25817.6474192,15474388.7482,599.372533715
2016-06-20,678.309,678.309,622.569,649.89,12336.9714219,8094820.71058,656.143265132
2016-06-19,674.3,683.122,660.015,678.31,5903.27265466,3978927.10198,674.02055347
2016-06-18,664.55,694.26,643.362,674.3,12203.3660532,8219908.22607,673.577125379
2016-06-17,682.85,690.28,624.928,664.55,18939.0711076,12514698.6077,660.787349948
2016-06-16,617.504,696.267,617.0,682.85,19503.6044696,12910562.6717,661.957777693
2016-06-15,611.0,619.9,598.24,617.504,7208.37295488,4398969.87436,610.25836231
2016-06-14,624.0,624.46,587.34,611.0,11928.861473,7262286.82954,608.799661726
2016-06-13,596.22,634.879,580.396,623.948,18810.8618697,11517970.5006,612.304241048
2016-06-12,543.0,609.99,536.64,595.28,19934.3333159,11443231.4837,574.046360236
2016-06-11,516.0,545.0,515.61,542.915,5963.71481974,3121543.02996,523.422585471
2016-06-10,509.679,516.737,508.5,515.811,4826.29769556,2474371.92105,512.685308104
2016-06-09,511.0,512.87,505.04,509.0,5143.06426074,2617980.91951,509.03134528
2016-06-08,508.77,512.56,502.98,511.0,5847.17477582,2973993.93249,508.620666649
2016-06-07,514.52,519.971,490.021,508.11,9884.28570154,5033487.02877,509.241353474
2016-06-06,505.511,518.099,505.39,514.4,7425.81103878,3813115.529,513.494823541
2016-06-05,504.41,515.388,500.0,505.57,5377.41342106,2733307.11273,508.294025157
2016-06-04,501.83,520.81,493.78,504.04,9617.76082592,4857802.18033,505.086606774
2016-06-03,482.99,508.713,481.3,501.83,11996.6698614,5955899.09553,496.462698759
2016-06-02,477.711,484.89,474.693,483.01,6657.96263424,3192819.49744,479.549026157
2016-06-01,476.5,485.47,469.16,478.97,7243.72194952,3467324.00295,478.666081761
2016-05-31,474.0,488.818,464.0,476.555,10852.5425016,5188051.57481,478.049413217
2016-05-30,469.899,486.999,463.5,476.0,6711.90227478,3204928.18784,477.49923295
2016-05-29,471.174,497.66,452.369,469.91,11879.9772874,5624611.82642,473.453079105
2016-05-28,423.93,484.5,422.001,469.001,13787.0941079,6203455.67305,449.946567746
2016-05-27,404.185,428.28,403.73,423.57,12183.1138423,5118501.19747,420.130786244
2016-05-26,402.041,404.99,399.001,404.194,5666.59286656,2282692.11851,402.833267232
2016-05-25,399.129,403.42,398.29,402.1,4768.19502109,1912655.08328,401.127696082
2016-05-24,395.0,400.392,390.49,399.129,6332.27714423,2514861.2725,397.149590142
2016-05-23,390.05,395.982,387.646,394.91,6829.106128,2683291.78747,392.919913262
2016-05-22,395.111,395.999,390.0,390.05,4707.92577371,1848546.35147,392.6456024
2016-05-21,395.747,396.99,394.16,395.188,2533.46437699,1001613.108,395.35314453
2016-05-20,388.403,398.5,388.279,395.953,6411.10160933,2532378.4384,394.998955361
2016-05-19,403.882,405.0,388.242,388.403,9077.62680832,3616459.49655,398.392616585
2016-05-18,401.827,405.61,400.656,403.924,6092.91188051,2459200.24426,403.616578163
2016-05-17,400.71,402.99,400.0,401.826,4127.14275339,1657538.42985,401.618875066
2016-05-16,403.63,405.5,399.785,400.71,6084.84323329,2450590.32852,402.736805956
2016-05-15,402.507,406.2,401.333,403.63,2331.02587173,941115.598118,403.734514289
2016-05-14,403.11,404.6,399.784,402.507,3495.6232218,1406682.51809,402.412510969
2016-05-13,401.08,404.68,398.472,403.331,5510.67297402,2214617.75043,401.877912348
2016-05-12,397.3,401.98,393.794,401.04,5127.47113041,2035603.84168,396.999571505
2016-05-11,398.452,401.02,395.0,397.3,4442.16142585,1769270.28268,398.290407094
2016-05-10,405.97,406.99,394.551,398.452,6096.63526321,2445676.67207,401.151875827
2016-05-09,403.48,407.99,400.456,406.19,5942.78621997,2405039.67658,404.699006081
2016-05-08,402.95,404.975,399.93,403.46,2382.78142628,958727.31002,402.356380424
2016-05-07,403.87,405.66,401.59,402.87,2177.26734904,878667.019184,403.564137207
2016-05-06,393.33,405.85,392.242,403.87,6192.0415116,2464074.52357,397.942184165
2016-05-05,390.2,394.49,389.717,393.91,4138.57953354,1624919.47694,392.6273408
2016-05-04,391.893,393.8,387.278,390.63,4338.6421187,1693211.2285,390.262939918
2016-05-03,386.896,394.0,384.1,392.5,3916.81972432,1523741.99794,389.025307568
2016-05-02,395.242,395.99,382.0,386.194,7168.22658473,2775556.99466,387.202742805
2016-05-01,391.739,397.281,390.993,395.242,1874.22277271,739946.883332,394.801991581
2016-04-30,399.551,399.98,390.26,391.69,4426.97918264,1752279.68147,395.818369408
2016-04-29,397.51,399.99,392.624,399.589,4291.78126988,1700604.83058,396.24685501
2016-04-28,392.95,397.987,384.31,396.95,7920.84229825,3117558.57028,393.589274081
2016-04-27,414.82,415.268,391.738,392.84,7179.49474071,2903802.03377,404.457714454
2016-04-26,410.1,417.2,408.875,414.86,5450.32517521,2252122.96548,413.208917466
2016-04-25,408.709,416.911,402.174,410.04,5783.88601833,2370444.47601,409.835959509
2016-04-24,401.16,410.794,398.464,409.0,5165.05186962,2089858.65476,404.615230885
2016-04-23,396.8,402.92,395.1,401.16,2784.85999385,1110304.1016,398.692969863
2016-04-22,399.0,399.0,392.7,396.833,3648.68275834,1445634.23205,396.207159624
2016-04-21,389.834,399.9,388.12,399.0,5582.09562423,2198050.64564,393.768002844
2016-04-20,383.588,393.0,382.5,390.6,6279.41090118,2431542.13047,387.224561148
2016-04-19,378.99,384.66,376.498,383.76,4415.27439734,1674704.9959,379.298056064
2016-04-18,378.513,380.89,377.0,378.99,3879.5090138,1468767.5798,378.596253953
2016-04-17,380.602,381.863,375.255,378.513,2788.21690704,1054091.58037,378.052215991
2016-04-16,381.0,384.271,379.364,380.75,2582.83940013,986132.871387,381.801853935
2016-04-15,377.49,381.892,377.18,381.0,5100.87816978,1936896.74135,379.718291023
2016-04-14,375.96,377.988,374.932,377.557,3849.23128249,1449355.27795,376.531097141
2016-04-13,374.18,377.0,372.378,375.96,7181.03939651,2691427.21061,374.79632989
2016-04-12,370.75,375.889,370.75,374.15,5599.32695033,2092172.35606,373.64711413
2016-04-11,369.149,371.398,368.397,370.5,5154.20330663,1908325.1455,370.246385712
2016-04-10,367.82,371.98,366.751,369.196,4034.38961462,1489864.20988,369.291107752
2016-04-09,368.45,369.017,364.3,367.54,3324.04612607,1220448.26108,367.157438494
2016-04-08,371.566,374.47,366.72,368.402,5482.15485329,2038184.99085,371.785373707
2016-04-07,371.499,372.99,367.41,371.566,5451.28531589,2022948.4323,371.095680206
2016-04-06,371.954,373.99,370.255,371.15,5917.65899539,2203148.48901,372.300683552
2016-04-05,369.001,372.989,368.32,372.47,5339.06108085,1983237.82214,371.45816317
2016-04-04,369.64,370.99,366.323,369.01,5764.75145492,2126825.82695,368.936257458
2016-04-03,370.28,371.0,367.476,369.625,2252.1519113,831664.256185,369.275381475
2016-04-02,367.836,372.2,367.343,369.854,2934.20586257,1086429.53386,370.26356866
2016-04-01,367.45,369.528,365.567,367.835,3536.72655167,1298791.20934,367.229750551
